what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.notifications.ui,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.ui",1372973695544
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1372973695546
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1372973695559
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1372973695559
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1372973695572
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1372973695572
started,bundle,org.eclipse.mylyn.tasks.index.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.index.core",1372973695572
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1372973695587
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1372973695601
os,sysinfo,,,"linux",1372973695604
arch,sysinfo,,,"x86_64",1372973695604
ws,sysinfo,,,"gtk",1372973695604
locale,sysinfo,,,"en_US",1372973695604
processors,sysinfo,,,"6",1372973695604
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1372973695604
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1372973695604
java.specification.name,sysinfo,,,"Java Platform API Specification",1372973695604
java.specification.vendor,sysinfo,,,"Oracle Corporation",1372973695604
java.specification.version,sysinfo,,,"1.7",1372973695604
java.vendor,sysinfo,,,"Oracle Corporation",1372973695604
java.version,sysinfo,,,"1.7.0_21",1372973695604
java.vm.info,sysinfo,,,"mixed mode",1372973695604
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1372973695604
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1372973695604
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1372973695604
java.vm.specification.version,sysinfo,,,"1.7",1372973695604
java.vm.vendor,sysinfo,,,"Oracle Corporation",1372973695604
java.vm.version,sysinfo,,,"23.21-b01",1372973695604
error,log,,,"fileChanged: failed to find manifest package for project ProjectOGC",1372973695867
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1372973696038
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1372973696172
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1372973696243
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1372973696293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372973697438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372973697473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372973714276
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1372973716489
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1372973717569
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1372973719901
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372973721613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372973722394
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1372973724716
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1372973727988
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1372973728123
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1372973728137
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1372973728310
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1372973728410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372973735885
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372973738105
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372973781688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372973782765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1372973948759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372973951033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372973952478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974025752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974026904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974028670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974034949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974059361
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974061148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974062824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974067056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1372974190513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974215407
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974216767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974218465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974219790
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974294016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974298587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974358348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974359510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974372458
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974379876
activated,view,com.android.ide.eclipse.ddms,22.0.1.v201305230001--685705,"com.android.ide.eclipse.ddms.views.LogCatView",1372974380022
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1372974397427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974400702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974401879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974403384
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974406217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974436182
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1372974632536
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974632576
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372974686758
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372976219542
stopped,bundle,org.eclipse.mylyn.ide.ant,3.7.1.v20120425-0100,"org.eclipse.mylyn.ide.ant",1372976219927
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1372976219932
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1372976219955
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1372976219967
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,22.0.1.v201305230001--685705,"overlay.com.android.ide.eclipse.adt.overlay",1372976220021
stopped,bundle,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.adt",1372976220022
stopped,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1372976220058
stopped,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1372976220087
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1372976220087
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1372976220101
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1372976220102
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1372976220102
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1372976220107
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1372976220121
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1372976220121
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1372976220146
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1372976220172
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1372976220173
stopped,bundle,org.eclipse.mylyn.commons.team,0.9.1.v20120412-0100,"org.eclipse.mylyn.commons.team",1372976220181
stopped,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1372976220182
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1372976220201
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1372976220202
stopped,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1372976220202
stopped,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1372976220202
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1372976220202
stopped,bundle,org.eclipse.mylyn.ide.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.ide.ui",1372976220211
stopped,bundle,org.eclipse.mylyn.resources.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.resources.ui",1372976220211
stopped,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1372976220211
